Sale Identifier,Date,Book Title,Quantity,Unit Price,Total Price
484,2021-12-08,Politics,1,33.67,33.67
485,2025-10-30,The Matarese Circle,3,11.26,33.78
486,2024-10-25,Mistborn,2,19.13,38.26
486,2023-07-24,Everything Is F*cked: A Book About Hope,1,17.51,17.51
486,2020-06-03,Blink,3,11.65,34.95
486,2023-03-24,You Are a Badass at Making Money,3,47.58,142.74
487,2021-06-27,Race Matters,3,10.15,30.45
488,2025-02-13,Educated: A Memoir,2,45.74,91.48
488,2022-03-04,Why I'm No Longer Talking to White People About Race,2,21.01,42.02
489,2025-09-04,The Notebook,3,33.81,101.43
489,2022-06-07,The 9 Steps to Financial Freedom,2,38.78,77.56
489,2021-02-25,The 8th Habit,3,28.27,84.81
490,2020-10-31,Selected Poems,3,10.97,32.91
491,2022-09-25,The Total Money Makeover,2,35.61,71.22
491,2022-06-01,Leaders Eat Last,1,22.89,22.89
492,2020-07-05,Winners Take All: The Elite Charade of Changing the World,2,26.81,53.62
492,2019-04-07,The Talented Mr. Ripley,1,20.6,20.6
492,2022-09-10,The Day of the Triffids,3,41.17,123.51
493,2020-02-15,1776,2,17.77,35.54
494,2024-02-03,Braiding Sweetgrass,3,13.88,41.64
495,2020-05-23,Common Stocks and Uncommon Profits,3,16.95,50.85
496,2023-01-17,Freakonomics,3,22.99,68.97
496,2021-10-03,All About Love,1,16.9,16.9
496,2020-08-28,How to Break Up with Your Phone,3,47.57,142.71
497,2020-05-24,The Divide: A Brief Guide to Global Inequality and its Solutions,2,38.84,77.68
497,2020-09-22,The World Is Flat,3,29.4,88.2
497,2019-10-28,The Effective Executive,2,40.57,81.14
498,2025-12-14,An Inconvenient Truth,2,38.39,76.78
498,2025-12-13,Becoming,1,37.84,37.84
499,2020-03-07,Uncanny Valley,3,31.19,93.57
499,2023-07-03,Digital Minimalism: Choosing a Focused Life in a Noisy World,3,38.67,116.01
499,2019-04-11,The Seven Spiritual Laws of Success,3,35.65,106.95
499,2020-04-03,Norse Mythology,1,29.7,29.7
500,2020-06-03,Falter: Has Human History Begun to End?,3,26.68,80.04
500,2019-02-03,The Woman in Cabin 10,3,40.11,120.33
500,2025-11-06,The Age of Surveillance Capitalism,2,13.19,26.38
500,2024-12-16,Caste: The Origins of Our Discontents,2,47.0,94.0
501,2022-11-07,Devil in Winter,3,29.29,87.87
502,2019-02-07,Energy and Civilization: A History,1,38.08,38.08
503,2023-06-20,Noise: A Flaw in Human Judgment,2,40.83,81.66
504,2019-07-13,Misbehaving: The Making of Behavioral Economics,2,21.2,42.4
504,2025-07-01,Margin of Safety: Risk-Averse Value Investing Strategies for the Thoughtful Investor,1,17.02,17.02
504,2023-05-03,Know My Name: A Memoir,2,45.01,90.02
504,2025-12-25,Love's Executioner,3,25.07,75.21
505,2025-07-05,Starship Troopers,3,16.3,48.9
505,2020-04-02,The Great Derangement: Climate Change and the Unthinkable,3,28.69,86.07
505,2025-04-25,Your Erroneous Zones,2,49.08,98.16
506,2023-01-23,Analects,2,25.2,50.4
506,2024-05-27,Antifragile,3,29.16,87.48
506,2019-09-29,Einstein: His Life and Universe,3,36.08,108.24
507,2025-07-22,Emotional Intelligence 2.0,1,47.64,47.64
508,2023-04-12,Bad Feminist,2,18.51,37.02
508,2025-12-22,Alone Together,3,13.55,40.65
509,2025-11-09,The Art of Thinking Clearly,1,37.9,37.9
510,2024-07-21,The New Jim Crow,3,28.48,85.44
510,2023-09-13,Starship Troopers,3,16.9,50.7
511,2021-04-24,Open,3,37.57,112.71
512,2020-10-02,Think and Grow Rich,1,13.46,13.46
512,2023-12-25,The Martian,3,47.8,143.4
512,2021-05-24,The Martian,2,25.0,50.0
512,2023-08-08,What I Know for Sure,1,24.46,24.46
512,2024-01-12,Packing for Mars,3,23.26,69.78
513,2020-08-26,The Clash of Civilizations and the Remaking of World Order,3,33.61,100.83
513,2020-03-23,Noise: A Flaw in Human Judgment,1,46.91,46.91
514,2020-12-07,Humankind: A Hopeful History,1,40.26,40.26
514,2021-12-17,Saving Capitalism,3,13.02,39.06
515,2023-03-02,Homecoming: Reclaiming and Championing Your Inner Child,3,19.59,58.77
516,2022-02-03,On Tyranny,3,48.82,146.46
517,2020-08-15,Basic Economics,2,15.53,31.06
518,2019-07-23,Shoe Dog,3,37.79,113.37
518,2022-03-30,One Hundred Years of Solitude,3,11.87,35.61
519,2022-09-07,Twitter and Tear Gas: The Power and Fragility of Networked Protest,2,22.57,45.14
519,2023-10-14,Homecoming: Reclaiming and Championing Your Inner Child,2,46.71,93.42
520,2025-04-03,The Ice Twins,3,29.68,89.04
521,2020-11-25,Noise: A Flaw in Human Judgment,2,25.03,50.06
521,2023-10-12,Between the World and Me,2,28.83,57.66
521,2023-05-12,Mistborn,1,33.4,33.4
522,2022-10-09,The Secret Place,3,42.39,127.17
522,2019-07-23,The Prince,2,47.85,95.7
522,2024-01-20,Atlas of the Heart,2,18.73,37.46
523,2020-07-12,Digital Minimalism: Choosing a Focused Life in a Noisy World,1,15.47,15.47
523,2020-09-09,Saving Capitalism,2,12.35,24.7
523,2019-07-22,Killing Floor,3,12.58,37.74
524,2019-01-31,The Age of Surveillance Capitalism,1,27.34,27.34
524,2021-01-16,An Inconvenient Truth,3,48.19,144.57
524,2019-12-30,The Hobbit,2,16.46,32.92
525,2021-10-17,An Inconvenient Truth,3,36.02,108.06
525,2025-10-20,Humankind: A Hopeful History,3,17.0,51.0
526,2024-07-11,Educated,1,12.69,12.69
526,2019-09-12,Team Human,1,11.05,11.05
526,2021-05-10,The Prophet,1,42.27,42.27
527,2025-01-15,Originals: How Non-Conformists Move the World,3,43.85,131.55
528,2021-10-27,Emotional Intelligence: Why It Can Matter More Than IQ,2,18.19,36.38
528,2023-10-24,Big Little Lies,1,35.55,35.55
528,2024-12-22,Alone Together,1,39.58,39.58
528,2021-02-07,Nineteen Eighty-Four,1,49.46,49.46
529,2022-03-10,A Tale of Two Cities,2,16.7,33.4
529,2019-07-03,The Notebook,3,36.97,110.91
529,2021-10-02,Brave New World,2,46.24,92.48
530,2023-02-28,Capital in the Twenty-First Century,3,15.64,46.92
530,2019-10-17,The War of the Worlds,2,11.13,22.26
531,2020-07-08,The Bourne Identity,2,49.04,98.08
531,2021-12-19,"Whitney, My Love",1,42.33,42.33
532,2020-12-28,Do Androids Dream of Electric Sheep?,1,31.72,31.72
533,2020-06-22,Humankind: A Hopeful History,2,11.23,22.46
534,2025-12-05,Stolen Focus: Why You Can't Pay Attention—and How to Think Deeply Again,1,45.45,45.45
534,2019-05-27,Facing Codependence,3,38.21,114.63
534,2021-05-15,Lab Girl,2,10.2,20.4
535,2020-12-24,Irrational Exuberance,3,30.36,91.08
535,2024-12-29,Can You Keep a Secret?,3,24.11,72.33
536,2022-09-13,Twitter and Tear Gas: The Power and Fragility of Networked Protest,2,20.28,40.56
536,2019-03-15,Mistborn,1,19.36,19.36
536,2019-08-13,The Happiness Trap,3,20.1,60.3
536,2021-03-11,The Big Sleep,2,19.33,38.66
536,2025-06-03,The Value of Everything: Making and Taking in the Global Economy,1,23.99,23.99
537,2024-12-08,Us vs Them: The Failure of Globalism,2,29.42,58.84
537,2024-05-07,The Art of War,1,22.13,22.13
537,2019-11-15,Smarter Faster Better,1,47.49,47.49
537,2025-09-30,My Grandmother's Hands: Racialized Trauma and the Pathway to Mending Our Hearts and Bodies,1,16.99,16.99
537,2023-09-03,The Dispossessed,1,41.8,41.8
538,2020-10-19,Too Big to Fail,1,38.3,38.3
539,2025-11-17,Principles for Dealing with the Changing World Order,3,10.3,30.9
540,2022-12-19,Sense and Sensibility,3,10.93,32.79
541,2021-06-05,The Undercover Economist,3,27.18,81.54
542,2023-02-21,What I Know for Sure,1,48.32,48.32
542,2022-04-15,All About Love,1,34.03,34.03
542,2019-01-05,Selected Poems,2,31.32,62.64
543,2021-04-26,Broke Millennial Takes On Investing,2,45.16,90.32
543,2020-06-18,Margin of Safety: Risk-Averse Value Investing Strategies for the Thoughtful Investor,3,26.35,79.05
544,2024-03-31,The Hunger Games,2,46.49,92.98
545,2021-07-14,The Time Machine,3,38.09,114.27
545,2022-11-22,Four Thousand Weeks: Time Management for Mortals,3,15.16,45.48
546,2023-02-27,Strangers on a Train,3,11.89,35.67
547,2020-06-13,Why I'm No Longer Talking to White People About Race,2,44.59,89.18
548,2021-03-04,The Post-American World,1,22.62,22.62
549,2025-05-08,The Curious Incident of the Dog in the Night-Time,3,19.03,57.09
550,2025-01-08,Silent Spring,2,29.1,58.2
551,2024-01-30,War and Peace,1,11.53,11.53
551,2024-03-08,A Walk in the Woods,2,24.04,48.08
551,2022-04-10,Brave New World,1,10.12,10.12
552,2024-04-24,The Martian,1,45.44,45.44
552,2025-04-11,Villette,1,42.63,42.63
552,2020-02-01,The Devil in the White City,2,49.4,98.8
552,2025-01-09,The Total Money Makeover,1,29.23,29.23
552,2023-06-03,The Prophet,2,17.38,34.76
553,2021-01-11,The Sixth Extinction,1,28.1,28.1
554,2025-06-04,These Truths: A History of the United States,2,13.72,27.44
555,2024-06-23,The Shallows: What the Internet Is Doing to Our Brains,3,39.2,117.6
555,2021-07-09,Wired for Love,3,40.93,122.79
556,2020-06-07,The Great Hack: How the Digital Takeover of Our Elections and Our Data Is Under Threat,1,16.29,16.29
556,2025-08-23,12 Rules for Life,1,43.52,43.52
557,2021-08-02,Frankenstein,1,32.05,32.05
557,2019-11-08,1776,3,47.63,142.89
558,2025-10-20,The Undercover Economist,2,15.13,30.26
558,2025-09-03,The Battle for Paradise: Puerto Rico Stays Strong,3,21.3,63.9
559,2023-05-27,History of the Peloponnesian War,1,20.55,20.55
559,2025-06-12,The 4-Hour Workweek,1,49.31,49.31
559,2019-01-08,Educated,1,29.74,29.74
560,2021-12-23,A Tale of Two Cities,1,44.79,44.79
560,2025-11-02,Spare,2,33.13,66.26
561,2019-05-22,Team of Rivals,2,42.43,84.86
561,2021-01-02,On War,2,41.04,82.08
562,2025-03-11,Race Matters,2,19.97,39.94
562,2019-01-21,Twitter and Tear Gas: The Power and Fragility of Networked Protest,3,44.18,132.54
562,2025-10-29,The Gene: An Intimate History,3,26.26,78.78
562,2024-10-22,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,2,37.59,75.18
563,2025-09-23,Irrational Exuberance,3,33.03,99.09
563,2024-09-27,Connectography,2,11.16,22.32
564,2021-07-20,The Attention Merchants,1,44.66,44.66
565,2022-01-20,You Are a Badass at Making Money,2,23.29,46.58
566,2023-03-18,The Polyvagal Theory,2,24.25,48.5
567,2021-10-03,A Night to Surrender,1,13.51,13.51
567,2023-12-07,Principles for Dealing with the Changing World Order,1,44.13,44.13
568,2021-05-18,Desert Solitaire,1,20.27,20.27
568,2025-01-06,Freakonomics,1,49.21,49.21
568,2019-08-22,Eloquent Rage: A Black Feminist Discovers Her Superpower,1,30.07,30.07
568,2024-10-19,The Haunting of Hill House,1,32.97,32.97
569,2025-01-04,Educated,1,31.38,31.38
570,2022-12-05,Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked,1,34.65,34.65
571,2025-10-16,Astrophysics for People in a Hurry,3,48.62,145.86
572,2021-11-12,Option B,2,37.45,74.9
572,2021-09-01,Soft Power,1,41.36,41.36
572,2020-06-01,The Year of Less,2,28.31,56.62
572,2021-12-18,When Things Fall Apart,1,43.53,43.53
573,2024-03-23,Just Mercy: A Story of Justice and Redemption,2,23.16,46.32
574,2021-12-17,Outlive: The Science & Art of Longevity,2,16.7,33.4
574,2021-11-07,Spare,3,25.92,77.76
574,2019-10-20,The Devil in the White City,1,37.03,37.03
575,2020-03-15,Connectography,1,37.44,37.44
576,2021-11-10,The Girl on the Train,2,46.95,93.9
577,2023-02-21,Money Master the Game,3,16.11,48.33
577,2023-11-09,One Hundred Years of Solitude,1,36.81,36.81
577,2025-10-15,The Clash of Civilizations and the Remaking of World Order,3,40.27,120.81
577,2019-03-14,Emotional Intelligence 2.0,1,31.05,31.05
577,2020-04-08,How Emotions Are Made,1,17.51,17.51
577,2019-10-16,Digital Minimalism: Choosing a Focused Life in a Noisy World,1,43.94,43.94
577,2024-11-25,The Age of Surveillance Capitalism,2,17.0,34.0
577,2025-10-14,Tinker Tailor Soldier Spy,1,29.27,29.27
577,2024-03-30,The Notebook,3,33.53,100.59
577,2025-09-08,SPQR: A History of Ancient Rome,3,33.2,99.6
577,2024-06-02,Team of Rivals,1,13.34,13.34
578,2024-10-27,Native American DNA: Tribal Belonging and the False Promise of Genetic Science,2,21.35,42.7
578,2020-08-24,Enchiridion,2,14.28,28.56
579,2024-12-27,Native American DNA: Tribal Belonging and the False Promise of Genetic Science,3,25.42,76.26
579,2025-02-06,The Caves of Steel,1,48.43,48.43
579,2025-05-16,The Notebook,1,41.17,41.17
580,2023-06-07,The Curious Incident of the Dog in the Night-Time,2,23.97,47.94
581,2023-08-02,The Seven Principles for Making Marriage Work,2,22.02,44.04
582,2021-06-27,The Ice Twins,3,27.1,81.3
582,2022-09-07,12 Rules for Life,3,32.06,96.18
583,2021-07-21,Facing Codependence,3,37.92,113.76
584,2020-04-09,The War of the Worlds,3,33.27,99.81
585,2021-01-10,Long Walk to Freedom,3,45.21,135.63
585,2024-12-03,Quiet: The Power of Introverts in a World That Can't Stop Talking,2,45.58,91.16
585,2025-04-13,I Will Teach You to Be Rich,3,22.27,66.81
586,2019-12-17,Spare,1,13.62,13.62
587,2021-04-11,Selected Poems,2,42.71,85.42
588,2022-09-23,Stillness Is the Key,3,29.89,89.67
589,2024-06-13,Mistborn,1,12.6,12.6
590,2025-04-20,Influence: The Psychology of Persuasion,3,36.63,109.89
590,2025-01-04,Killing Floor,1,49.91,49.91
591,2025-03-12,Sapiens: A Graphic History,2,24.81,49.62
592,2023-03-07,Just Mercy: A Story of Justice and Redemption,1,24.54,24.54
592,2024-04-27,Love's Executioner,1,12.23,12.23
593,2022-06-06,These Truths: A History of the United States,2,44.11,88.22
593,2024-04-06,Us vs Them: The Failure of Globalism,2,37.12,74.24
594,2023-03-03,The Lean Startup,1,18.18,18.18
594,2025-12-15,The State of Affairs,2,48.05,96.1
594,2021-11-12,SPQR: A History of Ancient Rome,2,15.33,30.66
595,2021-11-08,The Lord of the Rings,1,24.42,24.42
595,2025-12-20,Who Owns the Future?,2,11.17,22.34
596,2022-05-18,I'm Glad My Mom Died,3,44.68,134.04
596,2021-12-05,Principles for Dealing with the Changing World Order,2,45.06,90.12
596,2024-03-16,Enchiridion,1,34.86,34.86
596,2019-08-06,The Post-American World,3,35.13,105.39
596,2024-12-18,How to Break Up with Your Phone,1,48.01,48.01
596,2025-08-25,Angels & Demons,3,47.53,142.59
596,2019-02-05,The Little Book of Common Sense Investing,3,34.71,104.13
597,2025-12-25,Emotional Intelligence: Why It Can Matter More Than IQ,2,45.44,90.88
598,2019-12-09,"Set Boundaries, Find Peace",3,13.28,39.84
599,2022-08-10,Stamped from the Beginning,1,41.37,41.37
600,2020-09-02,White Fragility,2,30.64,61.28
601,2021-09-13,Enchiridion,1,28.01,28.01
601,2020-01-16,Why We Sleep,3,48.0,144.0
602,2022-10-23,Packing for Mars,3,22.67,68.01
603,2020-02-06,The Spy Who Came in from the Cold,3,19.15,57.45
603,2024-08-05,The Big Sleep,1,15.58,15.58
603,2019-01-17,When Things Fall Apart,2,20.73,41.46
603,2020-01-09,Letters from a Stoic,3,39.38,118.14
603,2025-07-09,Greenlights,3,33.1,99.3
603,2024-07-15,The Day of the Triffids,1,48.81,48.81
604,2025-12-24,You Are a Badass at Making Money,1,41.67,41.67
604,2025-02-18,Snow Crash,1,35.79,35.79
605,2024-05-31,The War of the Worlds,2,19.78,39.56
605,2023-07-02,Team Human,3,13.15,39.45
606,2020-10-06,How to Blow Up a Pipeline,2,27.99,55.98
606,2019-07-12,My Life on the Road,2,47.41,94.82
607,2021-05-27,Gender Trouble,3,11.59,34.77
607,2020-07-13,The Matarese Circle,3,42.55,127.65
607,2022-10-11,Devil in Winter,3,47.8,143.4
607,2025-07-23,The Black Swan,1,45.66,45.66
607,2025-07-17,The Girl on the Train,1,13.56,13.56
607,2024-10-06,Behave: The Biology of Humans at Our Best and Worst,1,17.28,17.28
607,2024-10-29,The Duke and I,2,38.65,77.3
608,2024-12-08,The Myth of Normal,2,42.35,84.7
608,2024-10-21,The 9 Steps to Financial Freedom,1,41.12,41.12
608,2025-08-24,Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked,1,32.45,32.45
609,2022-10-13,The Seven Principles for Making Marriage Work,1,18.75,18.75
610,2019-11-05,What I Know for Sure,1,38.37,38.37
610,2025-09-21,Rachel's Holiday,1,10.06,10.06
610,2024-01-01,Who Owns the Future?,1,27.28,27.28
611,2022-09-11,Team of Rivals,3,37.15,111.45
612,2020-08-03,Beating the Street,1,34.93,34.93
612,2019-01-11,Norse Mythology,3,21.88,65.64
612,2020-08-05,The 9 Steps to Financial Freedom,1,19.99,19.99
612,2021-02-16,The Cashflow Quadrant,1,17.86,17.86
613,2021-07-31,The Dispossessed,1,48.72,48.72
613,2019-06-08,Moneyball,3,44.9,134.7
614,2022-07-25,Villette,3,27.92,83.76
615,2025-09-02,The Talented Mr. Ripley,1,11.92,11.92
615,2020-07-13,Love's Executioner,1,17.36,17.36
615,2021-02-20,On Writing Well,2,27.75,55.5
615,2020-08-02,History of the Peloponnesian War,1,48.5,48.5
615,2025-09-01,Why We Sleep,1,10.86,10.86
616,2024-08-02,Stamped from the Beginning,2,21.25,42.5
616,2021-07-04,Financial Literacy for Beginners,3,10.31,30.93
616,2022-04-13,The Brothers Karamazov,1,13.43,13.43
617,2024-11-06,Freakonomics,3,41.92,125.76
618,2022-03-07,Mistborn,3,45.28,135.84
618,2021-11-16,The Notebook,3,45.45,136.35
618,2024-11-19,Four Thousand Weeks: Time Management for Mortals,1,30.72,30.72
619,2025-07-16,The Duke and I,2,35.29,70.58
620,2024-10-30,Trauma and Recovery,3,16.22,48.66
620,2021-07-10,Homecoming: Reclaiming and Championing Your Inner Child,3,37.36,112.08
620,2024-05-28,The End of History and the Last Man,3,48.12,144.36
620,2019-06-13,Titan: The Life of John D. Rockefeller,3,19.86,59.58
620,2019-02-24,Think for Yourself: The Art and Science of Good Judgment,3,11.89,35.67
620,2024-08-23,Harry Potter and the Chamber of Secrets,2,23.52,47.04
621,2024-05-21,Brave New World,3,29.24,87.72
622,2023-05-29,Mistborn,2,17.45,34.9
622,2025-10-21,World Without Mind: The Existential Threat of Big Tech,2,32.16,64.32
623,2025-02-10,Titan: The Life of John D. Rockefeller,1,12.25,12.25
623,2024-05-18,Option B,3,27.44,82.32
624,2021-02-19,Ain't I a Woman?,2,46.63,93.26
624,2019-03-25,"Set Boundaries, Find Peace",2,39.06,78.12
625,2020-05-25,The Seven Spiritual Laws of Success,2,37.81,75.62
626,2020-09-07,How I Lost Money in Real Estate Before It Ever Had a Chance to Lose Mine,1,42.53,42.53
626,2023-05-12,An Inconvenient Truth,3,23.97,71.91
626,2024-11-22,The Spy Who Came in from the Cold,3,47.78,143.34
627,2025-12-16,Decisive: How to Make Better Choices in Life and Work,2,27.93,55.86
627,2023-11-23,Norse Mythology,2,37.36,74.72
628,2020-01-01,Greenlights,1,13.69,13.69
628,2025-09-23,Villette,3,46.57,139.71
629,2019-11-19,New Dark Age: Technology and the End of the Future,1,28.05,28.05
630,2025-08-09,Nudge,3,20.22,60.66
631,2024-09-14,The War of the Worlds,3,20.77,62.31
631,2020-09-02,The 9 Steps to Financial Freedom,3,47.28,141.84
632,2021-06-12,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",3,18.3,54.9
632,2020-12-31,The Hobbit,1,15.38,15.38
632,2021-12-14,Selected Poems,2,27.16,54.32
632,2019-06-24,How I Lost Money in Real Estate Before It Ever Had a Chance to Lose Mine,2,37.73,75.46
633,2024-06-16,Why We Sleep,3,33.5,100.5
633,2021-12-12,The 8th Habit,1,15.72,15.72
634,2020-10-30,The Myth of Normal,1,13.12,13.12
634,2020-01-13,The Brothers Karamazov,2,46.56,93.12
635,2024-09-24,The Talented Mr. Ripley,2,23.33,46.66
635,2025-09-17,Love in the Time of Cholera,3,42.63,127.89
636,2022-01-04,Educated,2,21.87,43.74
637,2025-03-28,The 4-Hour Workweek,1,28.05,28.05
638,2019-01-22,Divergent,3,28.78,86.34
638,2020-12-03,The Da Vinci Code,2,12.18,24.36
638,2022-12-18,Afford Anything,3,19.4,58.2
638,2019-07-28,Sense and Sensibility,3,30.07,90.21
638,2023-10-14,Leaders Eat Last,2,12.25,24.5
638,2020-02-05,The Seven Principles for Making Marriage Work,3,20.49,61.47
638,2020-01-04,Four Thousand Weeks: Time Management for Mortals,1,35.77,35.77
638,2022-11-05,Becoming,3,48.98,146.94
638,2023-07-18,The Artist's Way,2,43.05,86.1
639,2021-11-15,The Bourne Identity,1,10.28,10.28
639,2021-05-18,The Richest Man in Babylon,2,32.73,65.46
640,2022-05-15,Women Who Love Too Much,3,25.22,75.66
641,2020-11-06,The Post-American World,1,37.66,37.66
642,2021-06-01,Humankind: A Hopeful History,3,35.45,106.35
643,2020-06-09,The Lord of the Rings,3,18.9,56.7
644,2023-09-28,It Ends with Us,2,21.97,43.94
645,2025-07-07,The Prophet,3,28.7,86.1
646,2022-10-30,Fahrenheit 451,3,18.11,54.33
646,2020-06-04,The Happiness Trap,2,26.99,53.98
647,2023-07-10,Pilgrim at Tinker Creek,1,49.89,49.89
648,2021-04-02,Big Little Lies,3,40.74,122.22
649,2023-10-03,Einstein: His Life and Universe,2,30.51,61.02
650,2023-03-29,The Diary of a Young Girl,2,49.44,98.88
650,2022-05-20,Steve Jobs,2,27.0,54.0
650,2020-11-19,Cosmos,2,23.46,46.92
651,2022-11-11,The Alchemist,2,20.5,41.0
652,2020-12-02,Becoming,3,32.53,97.59
652,2019-07-02,Frankenstein,3,29.55,88.65
653,2021-03-28,Quiet: The Power of Introverts in a World That Can't Stop Talking,1,32.16,32.16
653,2021-09-03,How to Do Nothing: Resisting the Attention Economy,3,24.24,72.72
654,2021-10-24,How to Break Up with Your Phone,2,24.51,49.02
655,2024-12-01,Educated,1,32.81,32.81
656,2023-07-06,Caste: The Origins of Our Discontents,3,39.1,117.3
657,2025-03-29,Open,3,44.0,132.0
657,2025-03-06,The Green Mile,1,10.4,10.4
657,2020-10-13,Smarter Faster Better,2,15.44,30.88
657,2021-02-26,Stamped from the Beginning,3,46.17,138.51
658,2025-03-13,Basic Economics,2,46.82,93.64
658,2019-01-22,John Adams,2,20.18,40.36
658,2024-05-15,Awakenings,2,13.5,27.0
659,2025-01-24,The Happiness Advantage,1,18.34,18.34
659,2024-06-18,Lab Girl,1,20.33,20.33
660,2024-03-02,A Sand County Almanac,1,43.14,43.14
661,2020-08-04,Open,2,24.29,48.58
662,2023-01-03,The Haunting of Hill House,2,23.52,47.04
662,2025-12-24,How to Break Up with Your Phone,3,11.42,34.26
662,2020-03-26,Security Analysis,1,14.06,14.06
662,2024-04-08,Broke Millennial Takes On Investing,2,38.48,76.96
662,2023-11-28,All About Love,1,14.95,14.95
662,2024-03-15,Alexander Hamilton,2,12.93,25.86
662,2025-02-02,Getting the Love You Want,3,24.05,72.15
663,2022-01-07,The Big Sleep,1,20.76,20.76
664,2025-02-13,Antifragile,1,26.23,26.23
664,2025-09-09,The Only Investment Guide You'll Ever Need,1,27.93,27.93
664,2025-02-07,Man's Search for Meaning,2,17.59,35.18
664,2023-04-10,Tinker Tailor Soldier Spy,1,27.61,27.61
665,2023-03-25,Team of Rivals,3,25.51,76.53
665,2022-08-20,Race Matters,3,23.17,69.51
665,2023-05-20,The Polyvagal Theory,1,37.28,37.28
666,2025-09-26,The Year of Less,1,19.3,19.3
667,2024-11-26,Cosmos,3,19.91,59.73
668,2021-12-10,The Ice Twins,3,30.26,90.78
668,2020-04-03,Stamped from the Beginning,2,21.08,42.16
669,2023-04-29,Crying in H Mart,2,14.15,28.3
669,2022-07-02,What Color Is Your Parachute?,1,27.18,27.18
670,2019-08-14,The Automatic Millionaire,3,30.97,92.91
671,2019-02-03,The Next 100 Years,3,32.74,98.22
672,2020-05-28,The ONE Thing,3,34.64,103.92
673,2024-11-26,The Sixth Extinction,2,24.43,48.86
674,2021-09-07,Against Crisis & Disaster,3,29.36,88.08
675,2022-03-03,Cover Her Face,1,30.62,30.62
675,2022-08-28,Agnes Grey,3,46.4,139.2
676,2022-05-04,Behave: The Biology of Humans at Our Best and Worst,2,21.36,42.72
676,2022-08-15,The Polyvagal Theory,2,10.79,21.58
677,2024-04-18,We Are Displaced,3,39.33,117.99
677,2019-12-15,John Adams,2,13.38,26.76
678,2020-12-17,Three Weeks,3,44.93,134.79
678,2024-11-05,The Hobbit,1,49.92,49.92
679,2019-08-25,The Better Angels of Our Nature,3,43.68,131.04
679,2019-08-30,The 5 Love Languages,2,20.43,40.86
679,2019-12-01,Angels & Demons,2,31.59,63.18
680,2019-05-10,Misbehaving: The Making of Behavioral Economics,2,27.41,54.82
680,2024-05-27,"Farewell, My Lovely",3,40.22,120.66
681,2021-02-15,Crime and Punishment,3,40.63,121.89
682,2025-08-18,World Without Mind: The Existential Threat of Big Tech,1,48.86,48.86
683,2020-12-27,On Writing Well,3,30.55,91.65
684,2019-06-22,Influence: The Psychology of Persuasion,2,35.51,71.02
685,2019-03-26,Eloquent Rage: A Black Feminist Discovers Her Superpower,1,44.53,44.53
686,2021-06-05,Orientalism,2,32.25,64.5
687,2019-11-02,The 9 Steps to Financial Freedom,2,46.01,92.02
688,2024-09-12,The Da Vinci Code,1,45.03,45.03
689,2025-11-06,Grit: The Power of Passion and Perseverance,2,15.11,30.22
690,2021-06-26,Narrative of the Life of Frederick Douglass,3,49.29,147.87
691,2019-09-25,The Age of Surveillance Capitalism,2,16.65,33.3
692,2019-06-25,"Whitney, My Love",2,45.54,91.08
693,2022-07-10,Broke Millennial Takes On Investing,3,38.27,114.81
694,2019-09-03,How I Lost Money in Real Estate Before It Ever Had a Chance to Lose Mine,2,36.61,73.22
694,2025-04-18,Nineteen Eighty-Four,2,23.94,47.88
694,2020-05-10,The Little Book of Market Myths,1,25.52,25.52
694,2022-05-27,The Children of Men,2,33.01,66.02
694,2024-01-19,Trauma and Recovery,2,10.86,21.72
694,2021-07-13,A People's History of the United States,3,16.95,50.85
695,2021-01-26,Sharp Objects,1,40.74,40.74
696,2024-05-18,Murder on the Orient Express,1,29.64,29.64
697,2019-03-15,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,1,42.07,42.07
698,2022-11-30,The Great Derangement: Climate Change and the Unthinkable,1,10.59,10.59
698,2020-01-21,The Green Mile,1,24.88,24.88
698,2024-09-20,Politics,2,39.91,79.82
699,2022-12-03,Facing Codependence,3,39.34,118.02
700,2023-08-03,The Total Money Makeover,2,44.83,89.66
701,2020-06-19,Basic Economics,3,30.35,91.05
702,2019-04-29,Crime and Punishment,2,12.81,25.62
702,2020-08-30,Race After Technology,3,41.01,123.03
702,2020-04-13,Harry Potter and the Philosopher's Stone,1,29.39,29.39
702,2024-07-02,Quiet: The Power of Introverts in a World That Can't Stop Talking,3,24.14,72.42
703,2022-11-18,Why We Sleep,2,29.18,58.36
704,2025-03-10,Quiet: The Power of Introverts in a World That Can't Stop Talking,1,43.3,43.3
704,2025-10-21,The Selfish Gene,3,43.06,129.18
705,2020-02-18,Writing Down the Bones,3,42.18,126.54
705,2021-04-18,The Brothers Karamazov,2,41.0,82.0
705,2019-06-13,Tinker Tailor Soldier Spy,1,22.89,22.89
706,2023-10-19,Dead Wake,2,30.1,60.2
706,2024-09-20,Between the Stops,3,46.65,139.95
707,2025-01-15,"The Utopia of Rules: On Technology, Stupidity and the Secret Joys of Bureaucracy",3,12.12,36.36
